timestamp,seconds_in_bucket,mid_price,bid_price,ask_price,volume,volatility,liquidity,transaction_cost_bps,regime
0.0,0,150.0,149.9752,150.0248,1511.53,0.015,10000.0,1.0,NORMAL
1.0,1,150.188,150.1633,150.2127,1641.22,0.015,10000.0,1.0,NORMAL
2.0,2,150.1196,150.0937,150.1456,1631.05,0.015,10000.0,1.0,NORMAL
3.0,3,149.9829,149.9585,150.0073,1468.5,0.015,10000.0,1.0,NORMAL
4.0,4,149.8474,149.8248,149.87,1410.61,0.015,10000.0,1.0,NORMAL
5.0,5,149.3474,149.3237,149.3712,1285.12,0.015,10000.0,1.0,NORMAL
6.0,6,149.4381,149.4148,149.4613,1223.91,0.015,10000.0,1.0,NORMAL
7.0,7,149.8625,149.8375,149.8876,1300.62,0.015,10000.0,1.0,NORMAL
8.0,8,149.4494,149.4242,149.4745,1243.65,0.015,10000.0,1.0,NORMAL
9.0,9,149.1163,149.0921,149.1406,1348.77,0.015,10000.0,1.0,NORMAL
10.0,10,149.0319,149.0045,149.0592,1207.41,0.015,10000.0,1.0,NORMAL
11.0,11,149.0277,149.0017,149.0537,1135.3,0.015,10000.0,1.0,NORMAL
12.0,12,148.6755,148.6529,148.698,1280.79,0.015,10000.0,1.0,NORMAL
13.0,13,148.2933,148.2674,148.3192,1264.12,0.015,10000.0,1.0,NORMAL
14.0,14,148.3423,148.3176,148.3669,1210.81,0.015,10000.0,1.0,NORMAL
15.0,15,147.9179,147.8934,147.9423,1123.26,0.015,10000.0,1.0,NORMAL
16.0,16,148.2207,148.1979,148.2435,1237.05,0.015,10000.0,1.0,NORMAL
17.0,17,148.3135,148.2893,148.3376,1136.19,0.015,10000.0,1.0,NORMAL
18.0,18,148.489,148.4628,148.5151,1287.99,0.015,10000.0,1.0,NORMAL
19.0,19,148.2476,148.2222,148.273,1118.03,0.015,10000.0,1.0,NORMAL
20.0,20,148.5276,148.5028,148.5524,1085.37,0.015,10000.0,1.0,NORMAL
21.0,21,148.2095,148.1835,148.2355,991.75,0.015,10000.0,1.0,NORMAL
22.0,22,148.599,148.5727,148.6252,1105.2,0.015,10000.0,1.0,NORMAL
23.0,23,148.7028,148.6773,148.7282,1029.18,0.015,10000.0,1.0,NORMAL
24.0,24,149.1461,149.1191,149.173,1083.43,0.015,10000.0,1.0,NORMAL
25.0,25,148.3911,148.3659,148.4162,1163.08,0.015,10000.0,1.0,NORMAL
26.0,26,148.3049,148.2824,148.3274,1072.16,0.015,10000.0,1.0,NORMAL
27.0,27,148.2415,148.2147,148.2684,1087.84,0.015,10000.0,1.0,NORMAL
28.0,28,148.0925,148.0682,148.1169,954.56,0.015,10000.0,1.0,NORMAL
29.0,29,148.355,148.3307,148.3794,1060.75,0.015,10000.0,1.0,NORMAL
30.0,30,148.5023,148.4761,148.5285,1025.6,0.015,10000.0,1.0,NORMAL
31.0,31,148.3002,148.2757,148.3247,971.85,0.015,10000.0,1.0,NORMAL
32.0,32,147.8803,147.8549,147.9056,1023.55,0.015,10000.0,1.0,NORMAL
33.0,33,147.8814,147.8582,147.9047,960.68,0.015,10000.0,1.0,NORMAL
34.0,34,147.7608,147.7368,147.7848,940.34,0.015,10000.0,1.0,NORMAL
35.0,35,147.7143,147.687,147.7417,1002.94,0.015,10000.0,1.0,NORMAL
36.0,36,147.764,147.7391,147.7889,979.18,0.015,10000.0,1.0,NORMAL
37.0,37,147.2157,147.1906,147.2408,943.02,0.015,10000.0,1.0,NORMAL
38.0,38,147.9193,147.894,147.9447,918.78,0.015,10000.0,1.0,NORMAL
39.0,39,147.9091,147.8827,147.9355,819.91,0.015,10000.0,1.0,NORMAL
